repo_names,name,react_1,react_3,react_5,react_6,react_7,react_9,react_11,react_12,react_14,react_23,react_26,react_30,react_31,react_36,react_43,react_54,react_59,react_67,react_70,react_72,react_73,react_74,react_78,react_79,react_80,react_81,react_84,react_89,react_94,react_97,react_99,react_101,sustainability_score
mannaandpoem/OpenManus,OpenManus,True,0.0,True,True,0.0,False,0,True,0.005043693637407061,False,False,True,True,0.0,0.5,0.8,True,0,False,0.8571428571428572,True,False,False,True,0.625,True,0.0,True,True,True,False,False,60.9562
2noise/ChatTTS,ChatTTS,True,0.14285714285714285,True,True,0.0,False,0,True,0.014615249753800881,False,True,True,True,0.0,0.5,0.6,True,0,False,0.8877551020408163,False,True,False,True,0.5,True,0.15789473684210525,False,False,True,False,True,35.3539
ccxt/ccxt,ccxt,True,1.0,True,True,0.0,True,0,True,0.010427537095133072,False,False,True,True,0.0,0.0,0.6,True,0,False,0.7500000000000001,False,False,True,True,0.7500000000000001,True,0.3157894736842105,False,True,True,True,False,79.9671
unslothai/unsloth,unsloth,True,0.0,True,True,0.0,False,0,True,0.019217042848781205,False,False,True,True,0.0,0.5,0.6,True,0,True,0.6857142857142858,False,False,True,True,0.625,True,0.5789473684210527,False,False,True,False,True,69.3685
chenfei-wu/TaskMatrix,TaskMatrix,True,0.0,True,False,0.0,False,0,False,0.007359142867114882,False,False,False,True,1.0,0.5,0.4,True,0,False,0.830357142857143,False,False,True,True,0.7500000000000001,True,0.5263157894736842,True,True,True,False,True,19.1096
testerSunshine/12306,12306,False,0.0,False,False,0.0,False,0,True,0.029301883638897224,False,False,False,True,1.0,0.5,0.4,True,0,True,0.6964285714285715,True,True,True,True,0.5,True,0.0,False,True,True,False,True,15.2955
huggingface/pytorch-image-models,pytorch-image-models,True,0.0,True,True,0.0,False,0,True,0.04026872546711546,False,True,True,True,0.0,0.5,0.6,True,0,True,0.7857142857142858,False,False,True,True,0.875,True,0.3157894736842105,True,False,True,True,True,62.4111
unclecode/crawl4ai,crawl4ai,True,0.14285714285714285,True,True,0.0,False,0,True,0.08721637178853608,False,False,True,True,0.0,0.5,0.8,True,0,True,0.830357142857143,True,False,True,True,0.7500000000000001,True,0.3157894736842105,True,False,True,False,True,46.5405
XX-net/XX-Net,XX-Net,False,0.2857142857142857,True,True,0.0,False,0,False,0.028315525334304068,False,True,True,True,0.0,0.0,0.6,True,0,True,0.792857142857143,True,True,False,True,0.5,True,0.0,False,False,False,False,False,38.2767
python-poetry/poetry,poetry,True,0.0,True,True,0.0,False,0,True,0.02139652894057112,False,False,True,True,0.0,0.5,0.6,True,0,True,0.642857142857143,True,False,True,True,0.625,True,0.2631578947368421,False,False,True,True,True,64.9451
Pythagora-io/gpt-pilot,gpt-pilot,True,0.2857142857142857,True,True,0.0,False,0,False,0.00817042697561365,False,True,True,True,0.0,0.5,0.8,True,0,True,0.7321428571428572,False,False,True,True,0.5,True,0.2631578947368421,False,True,True,True,True,35.0421
lllyasviel/ControlNet,ControlNet,False,0.0,True,False,0.0,False,0,True,0.02706733145128859,False,False,False,True,1.0,0.5,0.4,True,0,False,0.8376623376623377,False,False,True,True,0.25,True,0.0,False,False,True,False,True,11.6286
jax-ml/jax,jax,True,0.2857142857142857,True,True,0.0,False,0,True,0.007730965360461811,False,True,True,True,0.0,0.5,0.4,True,0,False,0.8877551020408163,True,False,True,True,0.625,True,0.2631578947368421,False,False,True,True,True,79.9123
facebookresearch/detectron2,detectron2,True,0.14285714285714285,False,True,0.0,False,0,True,0.0,False,True,True,True,0.0,0.5,0.6,True,0,False,0.8214285714285715,True,False,False,True,0.5,True,0.0,False,False,True,False,True,37.612
